"nyt_2010_2017_pick.display_title","summary_short"
"1","A bawdy college kegger has a possible extraterrestrial mystery in 1"
"10 Cloverfield Lane","JJ Abrams produced but did not direct this thriller which is only slightly connected to his Cloverfield 2008 and stars Mary Elizabeth Winstead"
"10,000 Saints","A troubled Vermont teenager is sent to live with his estranged father in New York and finds himself there during a defining cultural moment"
"12 Years a Slave","Steve McQueens 12 Years a Slave based on the true story of Solomon Northup drives straight to the heart of the cruelties of oppression"
"127 Hours","Danny Boyles 127 Hours recreates the ordeal of Aron Ralston the hiker who decided to extricate himself from a narrow slot of rock by severing an arm"
"13 Cameras","A creepy landlord a fathertobe with a wandering eye and a lot more than a couple bargained for in renting a home"
"17 Girls","When a high school alpha girl becomes pregnant 16 other girls follow suit in the film 17 Girls which wavers between light comedy and drama"
"20th Century Women","Annette Bening stars as a complicated and divorced Santa Barbara mother in Mike Millss funny emotionally piercing new film"
"45 Years","Charlotte Rampling and Tom Courtenay play a couple whose union is unexpectedly complicated by the discovery of the husbands longdead former girlfriend in a glacier"
"45365","The documentary 45365 looks at the residents of Sidney Ohio"
"4th Man Out","Adam a mechanic in his 20s who has recently come out tries dating apps with the encouragement of his three lifelong buddies"
"7 Boxes","A pushcart delivery boy in Paraguay takes a job for a shady butcher and chaos ensues in this film directed by Juan Carlos Maneglia and Tana Schmbori"
"78/52","A documentary by Alexandre O Philippe finds plenty to examine in one of the most memorable scenes in American film"
"99 Homes","Ramin Bahranis tale is on one level a fable about how impersonal economic forces shape individual destinies"
"A Bigger Splash","This film filled with beautiful people is a reluctant thriller about a rock star her current lover her former lover and a pretty young thing"
"A Dark Song","This intense debut feature from the Irish director Liam Gavin with its spare style is a marriage of acting and atmosphere"
"A Film with Me in It","A Film With Me in It is a slender supple comedy graced with appealing performers and laced with agreeable poison"
"A Ghost Story","Casey Affleck and Rooney Mara play a young couple one of whom is dead in David Lowerys haunting new film"
"A Good Man","A Good Man a documentary by Safina Uberoi follows Chris Rohrlach an Australian farmer who opens a legal brothel"
"A Hologram for the King","Set in Saudi Arabia this subdued absurdist farce reflects on American decline and runaway technology"
"A Little Chaos","Ms Winslet plays a gardener well ahead of her time in this Louis XIVera costume drama directed by and starring Alan Rickman"
"A Most Violent Year","A family its heatingoil business and New York are at the center of J C Chandor8217s 8220A Most Violent Year8221"
"A Prophet","A Prophet is one of those rare films in which the moral stakes are as insistent and thought through as the aesthetic choices"
"A Room and a Half","A Room and a Half is a rich heady fictionalized biography of the exiled Russian poet Joseph Brodsky"
"A Screaming Man","A Screaming Man by the Chadianborn filmmaker MahamatSaleh Haroun is a tender story about an individual at the intersection of the personal and the political"
"A Small Act","A Small Act follows Chris Mburu who as a child in Africa was sponsored by Hilde Back a woman in Sweden"
"A Summer's Tale","Eric Rohmers languid 1996 film A Summers Tale finally released in the United States focuses on a young man vacationing in Brittany who feels torn among three women"
"A United Kingdom","This romance illustrates the struggle for African independence from colonialism under the shadow of apartheid"
"A Useful Life","In Federico Veirojs film A Useful Life the programmer of a failing art house faces a challenge to his hermetic existence"
"A Very Harold & Kumar 3-D Christmas","The comedy A Very Harold  Kumar 3D Christmas again delights in the recreational drug use of its two stoner characters"
"Accidental Courtesy: Daryl Davis, Race & America","A man who confronts racism with friendliness in his travels"
"Aferim!","Romanias entry for consideration at the Academy Awards for best foreignlanguage film Radu Judes historical drama has resonance in our present age"
"After the Storm","The Japanese director Hirokazu Koreedas latest family drama focusing on a writer whos fallen on hard times works in a quiet cinematic register"
"Afterimage","This passionate political movie tells the story of Wladyslaw Strzeminski a reallife artist who suffered under Soviet rule"
"Afternoon","This Tsai Mingliang film features him and the actor Lee Kangsheng discussing personal issues in a minimalist setting"
"Aida's Secrets","This documentary follows Izak Szewelewicz who was sent to Israel as a toddler after World War II on a search for the brother he didnt know he had"
"All is Bright","Paul Giamatti and Paul Rudd play professional thieves attempting to give up crime in All Is Bright a new film directed by Phil Morrison"
"All the Money in the World","Mr Plummer who replaced Kevin Spacey in the role of J Paul Getty is magnetic in the film which recounts the 1973 kidnapping of his grandson"
"Allied","Allied is not so much a work of art as a triumph of craft possibly the purest and most relaxed demonstration of the director Robert Zemeckiss mastery"
"Almost Christmas","David E Talberts film is often disarmingly entertaining with an appealing and talented cast that includes Danny Glover Gabrielle Union and MoNique"
"Always Shine","Actresses try to renew their friendship during a weekend visit to Big Sur Calif but jealousies and old resentments bubble up"
"Amanda Knox","This documentary about the case of an exchange student killed in Italy focuses less on an accused killer and more on unprincipled journalism and unapologetic sexism"
"American Honey","Andrea Arnolds new feature her first set in the United States with a cast mostly of newcomers follows a band of aimless youths around the country"
"American Hustle","American Hustle starring Christian Bale and Amy Adams may be about a famous federal sting but its also a love story"
"Amy","Asif Kapadias documentary is a harrowing look at the singers life that drives home the costs of celebrity and fandom"
"An Inconvenient Sequel: Truth to Power","A followup to An Inconvenient Truth with new information on climate change and even some positive developments"
"An Oversimplification of Her Beauty","Terence Nance writes directs and acts in An Oversimplification of Her Beauty his film about the sweet romantic tension between two close friends"
"Anesthesia","This film considers the cruel paradox of living amid lifeenhancing technological miracles that dont fulfill a yearning for a more purposeful existence"
"Angkor Awakens: A Portrait of Cambodia","Robert H Liebermans documentary scrutinizes the harrowing abuses and tormented legacy of the Khmer Rouge regime"
"Another Year","Mike Leighs Another Year like many of his films is about the casualties of British class consciousness But it also trains its eye on another form of unfairness the unequal distribution of happiness"
"Anthropoid","Cillian Murphy and Jamie Dornan star as Resistance fighters in Czechoslovakia who set out to assassinate one of the chief architects of the Holocaust"
"Anton Chekhov's The Duel","Dover Kosashvilis new film adapts The Duel by Chekhov in a naturalistic style"
"Apprentice","In this film from Singapore the chief executioner at a highsecurity prison takes on a new assistant"
"April and the Extraordinary World","In an altered century with stunted technology a Parisian and her talking cat try to figure out why so many scientists are disappearing"
"Argo","Argo is a doozy of a story and so borderline ridiculous that it sounds like something that could have been cooked up only by Hollywood"
"Arrival","In Denis Villeneuves film Amy Adams plays a linguist struggling to understand interplanetary visitors checking in at 12 spots around the globe"
"As I Open My Eyes","A headstrong singer comes of age on the eve of Tunisias Jasmine Revolution"
"At Middleton","The romantic comedy At Middleton is also a delicate film about two people confronting their flawed marriages"
"Aurora","Cristi Puiu stars in and directs Aurora an enigmatic feature about human relations in presentday Romania"
"Babies","Babies a documentary by Thomas Balms chronicles the first year in the lives of four farflung infants"
"Baby Driver","Burning rubber and hot licks help propel this action movie about a getaway driver named Baby played by Ansel Elgort Edgar Wright directed"
"Ballplayer Pelotero","Ballplayer Pelotero is a stark documentary that examines the process of scouting young baseball players in the Dominican Republic"
"Balls Out","8220This isn8217t about winning8221 says the coach of the motley intramural football team at the center of this comedy 8220It8217s about winning at the last possible second8221"
"Barbershop Punk","The documentary Barbershop Punk follows one mans battle against Comcast and how it restricts Internet traffic"
"Barbershop: The Next Cut","This movie revives the Barbershop franchise bringing back Ice Cube as the owner of a haircutting establishment on Chicagos South Side"
"Battle for Brooklyn","Battle for Brooklyn a documentary by Michael Galinsky and Suki Hawley chronicles the Atlantic Yards project and the work of a resident who has fought against it"
"Beach Rats","Eliza Hittmans refreshing sophomore feature centers on its main characters existential crisis"
"Beauty and the Beast","A compassionate Belle and a splendid monster are the hallmarks of this liveaction remake of the 1991 animated film"
"Before Midnight","Before Midnight follows the continuing romance of characters played by Julie Delpy and Ethan Hawke in the third film in a series directed by Richard Linklater"
"Best and Most Beautiful Things","This documentary follows a young woman who is legally blind and has Aspergers syndrome as she enters adulthood and explores a new identity"
"Beyond the Edge","With reenactments and archival material Leanne Pooley recounts Edmund Hillary and Tenzing Norgays ascent of Mount Everest"
"Beyond the Lights","In Gina PrinceBythewood8217s 8220Beyond the Lights8221 a pop star lives a lonely life before meeting a police officer with ambitions of his own"
"Big Game","In this adventure a Scandinavian teenager encounters the American president who has bailed out of a doomed Air Force One over the Finnish woods"
"Big Men","Rachel Boyntons documentary Big Men is about the 2007 discovery of oil off the coast of Ghana and the perfect storm of avarice that develops around it"
"Big Sur","Michael Polishs film Big Sur is based on Jack Kerouacs visits to that coastal California region where he fled the literary success that followed the publication of On the Road"
