display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,boxoffice,genre,director,writer,actor,nomination
Baaghi,NA,0,RACHEL SALTZ,"Review: ‘Baaghi,’ a Bollywood Rebel Tale in Search of a Cause","Fists and feet fly in this movie with the usual grab bag of romance, comedy and drama, directed by Sabbir Khan and starring Tiger Shroff and Shraddha Kapoor.",2016-05-01,2016-04-29,2017-11-02 4:18,436055,Action,Sabir Khan,"Shifuji Shaurya Bharadwaj (Wrote all of his own dialogue), Sanjeev Datta",Shraddha Kapoor,0
Backcountry,R,0,MANOHLA DARGIS,"Review: ‘Backcountry,’ a Wilderness Survival Thriller",&#8220;Backcountry&#8221; unfolds in a dense forest where two hapless hikers meet with all manner of terrors.,2015-03-19,2015-03-20,2017-11-02 4:18,NA,Drama,Adam MacDonald,Adam MacDonald,Jeff Roop,0
Backstreet Boys: Show 'Em What You're Made Of,NA,0,NEIL GENZLINGER,Back When They Were Fab,"In &#8220;Backstreet Boys: Show &#8217;Em What You&#8217;re Made Of,&#8221; members of that boy band reminisce, relax and occasionally rehearse.",2015-01-29,2015-01-30,2017-11-02 4:18,NA,Documentary,Stephen Kijak,NA,A.J. McLean,0
Bad 25,Not Rated,0,JEANNETTE CATSOULIS,The Steps of Michael Jackson’s ‘Bad’,"Spike Lee compiles clips and interviews to present a buoyant picture of Michael Jackson in “Bad 25,” celebrating the 25th anniversary of Jackson’s follow-up to “Thriller.”",2012-10-18,2012-10-19,2017-11-02 4:18,NA,Documentary,Spike Lee,NA,Michael Jackson,0
Bad Hurt,NA,0,GLENN KENNY,"Review: In ‘Bad Hurt,’ a Staten Island Family Struggles","This drama, set in 1999, features post-traumatic stress disorder and other problems that are not easily solved.",2016-02-11,2016-02-12,2017-11-02 4:18,NA,Drama,Mark Kemble,"Mark Kemble, Jamieson Stern",Ashley Williams,0
Bad Johnson,NA,0,NEIL GENZLINGER,A Penis With a Mind of Its Own,"Be careful what you wish for: A man tired of the way his lust runs his life ends up with a renegade, human-form penis in the sex farce “Bad Johnson.”",2014-05-01,2014-05-02,2017-11-02 4:18,NA,Comedy,Huck Botko,Jeff Tetreault,Jamie Chung,0
Bad Kids of Crestview Academy,R,0,ANDY WEBSTER,Review: ‘Bad Kids of Crestview Academy’ Brings Blood to Detention,"Prep-school students in Saturday detention are trapped on campus to die one by one in this film directed by Ben Browder, a sequel to “Bad Kids Go to Hell.”",2017-01-12,2017-01-13,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Bad Moms,R,0,MANOHLA DARGIS,"Review: ‘Bad Moms,’ a Comedy of Outrage Pegged to Smother Mothers","The film is a funny, giddy, sentimental laugh-in from Jon Lucas and Scott Moore, who wrote the 2009 hit “The Hangover.”",2016-07-28,2016-07-29,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Bad Santa 2,R,0,BEN KENIGSBERG,Review: ‘Bad Santa 2’ Works Through Mommy Issues,This sequel addresses two unnecessary questions: What if bad Santa weren’t so bad? And what if he had an estranged and equally foul mother?,2016-11-22,2016-11-23,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Bad Teacher,NA,0,MANOHLA DARGIS,When the Teacher Gets High Marks in the Raunchy and the Profane,"Cameron Diaz has found her down-and-dirty element in “Bad Teacher,” a broad comedy that threatens to get ugly and more or less succeeds on that threat.",2011-06-23,2011-06-24,2017-11-02 4:18,100292856,Comedy,Jake Kasdan,"Gene Stupnitsky, Lee Eisenberg",Cameron Diaz,0
Bad Turn Worse,NA,0,STEPHEN HOLDEN,"Cotton Mills, Venom and Dead Ends","Zeke and Simon Hawkins&#8217;s &#8220;Bad Turn Worse&#8221; begins with $20,000 missing from a safe in a Texas cotton mill town.",2014-11-13,2014-11-14,2017-11-02 4:18,NA,Crime,"Simon Hawkins, Zeke Hawkins",Dutch Southern,Mackenzie Davis,0
Bad Words,R,0,MANOHLA DARGIS,A Spelling Bee Bully With Decades on His Rivals,"“Bad Words,” Jason Bateman’s feature-directing debut, is a would-be gonzo comedy with a tough exterior and a marshmallow center.",2014-03-13,2014-03-28,2017-11-02 4:18,NA,Comedy,Jason Bateman,Andrew Dodge,Jason Bateman,0
Badmaash Company,NA,0,RACHEL SALTZ,How to Say ‘Greed Is Good’ in Hindi,Parmeet Sethi’s “Badmaash Company” considers corruption and redemption in modern India.,2010-05-07,2010-05-07,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Badrinath Ki Dulhania,NA,0,RACHEL SALTZ,"Review: In ‘Badrinath Ki Dulhania,’ Boy Meets Girl (and Learns to Respect Her)","This Bollywood rom-com, directed by Shashank Khaitan, describes the growing pains of a gentleman whose fiancée teaches him to acknowledge her equality.",2017-03-12,2017-03-10,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Baggage Claim,PG-13,0,NICOLAS RAPOLD,Looking for Sparks From Old Flames,"A woman goes searching for a husband in “Baggage Claim,” a comedy directed by David E. Talbert and based on his novel.",2013-09-26,2013-09-27,2017-11-02 4:18,17262017,Comedy,David E. Talbert,"David E. Talbert (screenplay by), David E. Talbert (based on the novel entitled ""Baggage Claim"" by)",Paula Patton,0
Bajirao Mastani,NA,0,RACHEL SALTZ,"Review: ‘Bajirao Mastani,’ a Bollywood Forbidden Romance","A Hindu man falls for a Muslim woman in 18th-century India, in this film from Sanjay Leela Bhansali.",2015-12-17,2015-12-18,2017-11-02 4:18,6557047,Action,Sanjay Leela Bhansali,"Nagnath S. Inamdar (novel), Sanjay Leela Bhansali (additional writer), Prakash Kapadia",Ranveer Singh,0
Bal,NA,0,ANDY WEBSTER,"A Son’s Quest, With Nature as a Guide","With “Bal” (“Honey”), the Turkish director Semih Kaplanoglu enables the lush mountain forests of Rize Province, near the Black Sea, to express what its young protagonist cannot.",2011-03-24,2011-03-25,2017-11-02 4:18,NA,Drama,NA,Alexander Pushkin (books),Antonina Shuranova,0
Band Aid,NA,0,BEN KENIGSBERG,Review: Power Ballads as Couples Therapy in ‘Band Aid’,"Zoe Lister-Jones wrote, directed and stars in this comedy about an out-of-sync couple turning their squabbles into songs.",2017-06-01,2017-06-09,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Bang Bang,PG-13,0,ANDY WEBSTER,"From Bollywood, With Love ","In the action film “Bang Bang!,” the hero covers several continents in pursuit of a diamond from the Tower of London, among other prizes.",2014-10-02,2014-10-02,2017-11-02 4:18,2681879,Action,Siddharth Anand,"Sujoy Ghosh (screenplay), Suresh Nair (screenplay), Patrick O'Neill (original story), Abbas Tyrewala (dialogue)",Hrithik Roshan,0
Bang Gang: A Modern Love Story,NA,0,STEPHEN HOLDEN,"Review: ‘Bang Gang,’ Seaside Orgies to a Soundtrack of Yawns","This film about middle-class teenagers having group sex during a long hot summer in Biarritz, France, is remarkable for its shrugging attitude.",2016-06-16,2016-06-17,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Barbecue,NA,0,NICOLAS RAPOLD,"Married and on the Make, Even After a Heart Attack ",This French comedy concerns a man who has had a heart attack and yet continues with his philandering ways.,2014-12-25,2014-12-26,2017-11-02 4:18,NA,Comedy,Eric Lavaine,"Héctor Cabello Reyes (screenplay), Eric Lavaine (screenplay)",Lambert Wilson,0
Bare,Not Rated,0,NEIL GENZLINGER,"Review: In ‘Bare,’ a Bored Woman Takes Up Pole Dancing",Dianna Agron of “Glee” stars as someone who flees a staid existence after meeting a drug-dealing drifter.,2015-10-29,2015-10-30,2017-11-02 4:18,NA,Drama,Natalia Leite,Natalia Leite,Dianna Agron,0
Barney's Version,R,0,A. O. SCOTT,"Maybe a Dinosaur, Just Not Purple",“Barney’s Version” stars Paul Giamatti in an adaptation of a book by Mordecai Richler.,2010-12-02,2011-02-18,2017-11-02 4:18,7501404,Comedy,Richard J. Lewis,"Mordecai Richler (novel), Michael Konyves (screenplay)",Paul Giamatti,1
Batkid Begins: The Wish Heard Around the World,PG,0,JEANNETTE CATSOULIS,"Review: In &#8216;Batkid Begins&#8217;, a Boy&#8217;s Simple Wish Whips Up Frenzied Adulation",Dana Nachman documents the overwhelming response to a 5-year-old cancer patient&#8217;s wish to become Batman.,2015-06-25,2015-06-26,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Batman v Superman: Dawn of Justice,PG-13,0,A. O. SCOTT,Review: ‘Batman v Superman’ ... v Fun?,"The film, pitting Ben Affleck against Henry Cavill, largely serves as an extended trailer for a slate of coming DC Comics movies like “Wonder Woman.”",2016-03-23,2016-03-25,2017-11-02 4:18,293792936,Action,Zack Snyder,"Chris Terrio, David S. Goyer, Bob Kane (Batman created by), Bill Finger (Batman created by), Jerry Siegel (Superman created by), Joe Shuster (Superman created by), William Moulton Marston (character created by: Wonder Woman)",Ben Affleck,0
Battle of the Sexes,PG-13,0,MANOHLA DARGIS,"Review: Advantage, Bobby, but Game, Set, Match, Billie Jean in ‘Battle of the Sexes’",Emma Stone plays Billie Jean King and Steve Carell plays Bobby Riggs in a movie about the 1973 tennis match that became a referendum on equality.,2017-09-21,2017-09-22,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Battle of the Year 3D,PG-13,0,MIRIAM BALE,Blasting Through the Dance Wars,A bawdy college kegger has a possible extraterrestrial mystery in “+1.” The 3-D “Battle of the Year” has a dance team preparing for competition.,2013-09-19,2013-09-20,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Battle: Los Angeles,PG-13,0,A. O. SCOTT,City of Angels Resists Becoming City of Aliens (the Outer-Space Type),“Battle: Los Angeles” follows Marines fending off an attack on the title city.,2011-03-10,2011-03-11,2017-11-02 4:18,83537651,Action,Jonathan Liebesman,Christopher Bertolini,Aaron Eckhart,0
Battleship,PG-13,0,NEIL GENZLINGER,"Aliens, Your Weapons Are Utterly Useless Against Our Rogues","“Battleship,” a movie loosely based on the Hasbro game, is a cacophonous special-effects extravaganza.",2012-05-17,2012-05-18,2017-11-02 4:18,65173160,Action,Peter Berg,"Jon Hoeber, Erich Hoeber",Taylor Kitsch,0
Baywatch,R,0,A.O. SCOTT,"Review: ‘Baywatch,’ a Romp Full of Surf, Sand and Lots of Skin","Dwayne Johnson and his lifeguard squad try to save the Bay while providing the sort of sleazy, wholesome entertainment this ’90s series was known for.",2017-05-24,2017-05-25,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Bazodee,PG-13,0,HELEN T. VERONGOS,Review: Soul of Calypso Elevates the Bollywood-Flavored ‘Bazodee’,This romance finds an Indian family from London visiting another in Trinidad and Tobago for a party celebrating their children’s engagement.,2016-08-04,2016-08-05,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Be Somebody,PG,0,ANDY WEBSTER,"Review: In ‘Be Somebody,’ a Teenage Idol Goes AWOL With an Ordinary Girl",Matthew Espinosa plays a pop star who has had enough with his tour handlers and sees how the other folks live.,2016-06-09,2016-06-10,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Bears,G,0,NICOLAS RAPOLD,"A Bear, Her Cubs and the Wilderness",Disney’s “Bears” is the chronicle of a year in the hungry life of one bear and her two cubs in the Alaskan wilderness.,2014-04-17,2014-04-18,2017-11-02 4:18,17769442,Documentary,"Alastair Fothergill, Keith Scholey, Adam Chapman(co-director)","Alastair Fothergill, Adam Chapman, Pamela Ribon (narration consultant)",John C. Reilly,0
Beastly,PG-13,0,MANOHLA DARGIS,"From Hottie to Homely, Transformed by a Witch","Teenage love breaks out in “Beastly,” a fairy tale remade.",2011-03-03,2011-03-04,2017-11-02 4:18,27854896,Drama,Daniel Barnz,"Daniel Barnz (screenplay), Alex Flinn (novel)",Alex Pettyfer,0
Beasts of No Nation,Not Rated,0,A. O. SCOTT,"Review: ‘Beasts of No Nation,’ a Brutal Tale of Child Soldiers in Africa","In this film, written and directed by Cary Joji Fukunaga, the line between innocence and evil is thinner than the blade of a machete.",2015-10-15,2015-10-16,2017-11-02 4:18,83861,Drama,Cary Joji Fukunaga,"Cary Joji Fukunaga (written for the screen by), Uzodinma Iweala (based on the novel by)",Abraham Attah,1
Beatriz at Dinner,R,0,A.O. SCOTT,Review: Salma Hayek Skewers a Boor in ‘Beatriz at Dinner’,Class polarization makes for an uncomfortable dinner party in this film written by Mike White and directed by Miguel Arteta.,2017-06-08,2017-06-09,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Beautiful Creatures,NA,0,MANOHLA DARGIS,"Ding, Dong! The Witch Is Cute",“Beautiful Creatures” has sweet young things and supernatural shenanigans.,2013-02-13,2013-02-14,2017-11-02 4:18,19445217,Drama,Richard LaGravenese,"Richard LaGravenese (screenplay), Kami Garcia (based on the novel ""Beautiful Creatures"" by), Margaret Stohl (based on the novel ""Beautiful Creatures"" by)",Alden Ehrenreich,0
Beautiful Islands,PG,0,JEANNETTE CATSOULIS,Floating Away,“Beautiful Islands” captures the effects of global warming on the inhabitants of imperiled islands.,2010-07-01,2010-07-02,2017-11-02 4:18,NA,Documentary,Tomoko Kana,NA,NA,0
Beautiful Something,Not Rated,0,STEPHEN HOLDEN,Review: ‘Beautiful Something’: Craving Love in Philadelphia,"Joseph Graham’s movie is a bleak, agonized study of gay men looking for some kind of connection.",2016-05-05,2016-05-06,2017-11-02 4:18,NA,Drama,Joseph Graham,Joseph Graham,Brian Sheppard,0
Beetle Queen Conquers Tokyo,NA,0,MIKE HALE,"In Japan, the Children Are Buying Bugs",“Beetle Queen Conquers Tokyo” says less about Japan than it does about America’s continuing fascination with modern Japanese culture.,2010-05-11,2010-05-12,2017-11-02 4:18,NA,Documentary,Jessica Oreck,Jessica Oreck,NA,0
Before I Fall,PG-13,0,A.O. SCOTT,"Review: ‘Before I Fall,’ a Melodramatic ‘Groundhog Day’",Zoey Deutch relives a day repeatedly until she gets it right in this film based on a young-adult novel.,2017-03-01,2017-03-03,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Before I Go To Sleep,R,0,STEPHEN HOLDEN,"A Life Not Gone, Just Forgotten","In &#8220;Before I Go to Sleep,&#8221; Nicole Kidman plays an amnesiac who awakens each day not knowing who she is, nor the man lying beside her (Colin Firth).",2014-10-30,2014-10-31,2017-11-02 4:18,NA,Drama,Rowan Joffe,"Rowan Joffe, S.J. Watson (based on the novel by)",Nicole Kidman,0
Before the Flood,NA,0,NEIL GENZLINGER,"Review: In ‘Before the Flood,’ Leonardo DiCaprio Sounds the Climate-Change Alarm",A new documentary chronicles environmental degradation that leads to global warming and suggests steps to reduce it.,2016-10-20,2016-10-30,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Before You Know It,Not Rated,0,ANDY WEBSTER,When ’70s Guys Hit Their 70s,"P J Raval’s documentary “Before You Know It” follows three gay men — in New York, Florida and Texas — as they deal with the common issues of aging.",2014-05-29,2014-05-30,2017-11-02 4:18,NA,Documentary,PJ Raval,"Kyle Henry, PJ Raval",Dennis Creamer,0
Begin Again,R,0,A. O. SCOTT,"The Genre, if Not the Song, Remains the Same","“Begin Again,” starring Keira Knightley, Mark Ruffalo and Adam Levine, is the director John Carney’s follow-up to “Once.”",2014-06-26,2014-07-11,2017-11-02 4:18,12078174,Comedy,John Carney,John Carney,James Corden,1
Behind the Blue Veil,NA,0,ANITA GATES,"A Way of Life, and Its Slow Death",“Behind the Blue Veil” chronicles the Tuareg people of Mali and the threats to their culture.,2013-10-31,2013-11-01,2017-11-02 4:18,NA,Documentary,Robyn Symon,Robyn Symon,NA,0
Beijing Taxi,NA,0,MIKE HALE,Bystanders to China’s Transition,"The filmmaker Miao Wang follows three cabbies in “Beijing Taxi,” her documentary about working-class Chinese life.",2010-12-09,2011-06-25,2017-11-02 4:18,NA,Documentary,Miao Wang,Miao Wang,NA,0
Being Charlie,NA,0,STEPHEN HOLDEN,"Review: ‘Being Charlie,’ a Rehab Story Directed by Rob Reiner","The director’s son Nick Reiner wrote the screenplay with Matt Elisofon, and it centers on a rebellious teenager whose father is a well-known entertainment figure.",2016-05-05,2016-05-06,2017-11-02 4:18,11872,Drama,Rob Reiner,"Matt Elisofon, Nick Reiner",Nick Robinson,0
"Ben-Gurion, Epilogue",NA,0,HELEN T. VERONGOS,Review: Israel Is the Focus of ‘The Settlers’ and ‘Ben-Gurion: Epilogue’,Issues of sovereignty in the Middle East are revisited in a pair of documentaries.,2017-03-02,2017-03-03,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Ben-Hur,PG-13,0,STEPHEN HOLDEN,Review: ‘Ben-Hur’ Is a Savage Update for a New Generation,Timur Bekmambetov’s adaptation of the sword-and-sandals spectacle offers a rip-roaring chariot race but is largely devoid of pious posturing.,2016-08-18,2016-08-19,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Bending the Arc,NA,0,JEANNETTE CATSOULIS,Review: Paul Farmer Works to Heal Haiti in ‘Bending the Arc’,"This feel-good documentary dives into global health care with the same optimism as its subjects, two founders of Partners in Health.",2017-10-05,2017-10-06,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Berlin '36,NA,0,JEANNETTE CATSOULIS,‘Berlin 36’,“Berlin 36” loosely recounts how the Nazis plotted to keep a Jew off the German Olympic team in 1936.,2011-09-15,2011-09-16,2017-11-02 4:18,NA,Drama,Kaspar Heidelbach,"Lothar Kurzawa (screenplay), Eric Friedler (idea)",Karoline Herfurth,0
Berlin Syndrome,R,0,GLENN KENNY,"Review: In ‘Berlin Syndrome,’ Passion Leads to Horrific Regret",Teresa Palmer has a breakthrough role as a young woman on holiday in Berlin whose instant romance with a stranger results in her abduction.,2017-05-25,2017-05-26,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Beside Still Waters,NA,0,JEANNETTE CATSOULIS,Let the Drinking Games and Self-Pity Begin,"In Chris Lowell&#8217;s &#8220;Beside Still Waters,&#8221; a weekend reunion of old high school friends turns into whiskey-lubricated nostalgia.",2014-11-13,2014-11-14,2017-11-02 4:18,NA,Comedy,Chris Lowell,"Chris Lowell, Mohit Narang",Ryan Eggold,0
Best of Enemies,R,0,A. O. SCOTT,Review: &#8216;Best of Enemies&#8217; Recalls Gore Vidal and William F. Buckley Jr.&#8217;s TV Battles,This documentary from Robert Gordon and Morgan Neville mines the Buckley-Vidal skirmishes around the 1968 political conventions for nuggets of historical insight.,2015-07-30,2015-07-31,2017-11-02 4:18,NA,Comedy,NA,NA,Robert Coote,0
Better Living Through Chemistry,Not Rated,0,STEPHEN HOLDEN,Where Performance Enhancers Are Legal,"A rather dull married pharmacist (Sam Rockwell) and a gorgeous, equally married customer (Olivia Wilde) make for an explosive compound in “Better Living Through Chemistry.”",2014-03-13,2014-03-14,2017-11-02 4:18,51772,Comedy,"Geoff Moore, David Posamentier","Geoff Moore, David Posamentier",Sam Rockwell,0
Better Than Something: Jay Reatard,Not Rated,0,JEANNETTE CATSOULIS,Looking Ahead to Dying Young,"With candid interviews and raw performance footage, “Better Than Something” traces the volatile, short life of the garage rocker known as Jay Reatard.",2012-03-01,2012-03-02,2017-11-02 4:18,NA,Documentary,"Alex Hammond(co-director), Ian Markiewicz(co-director)",NA,Jay Reatard,0
Bettie Page Reveals All,R,0,MANOHLA DARGIS,"The Ultimate Pinup Queen, With a Peek at the Sad Side","“Bettie Page Reveals All” a documentary from Mark Mori, uses a Page voice-over stitched together from audio interviews in presenting the legendary pinup girl’s not-all-happy story.",2013-11-21,2013-11-22,2017-11-02 4:18,102378,Documentary,Mark Mori,Douglas Miller,Bettie Page,0
Betting on Zero,NA,0,BEN KENIGSBERG,Review: ‘Betting on Zero’ Tracks a Crusade Against Herbalife,A documentary looks at a hedge fund manager’s $1 billion bet against that nutritional company and his efforts to expose what he characterized as consumer fraud.,2017-03-16,2017-03-17,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Between Two Worlds,NA,0,JEANNETTE CATSOULIS,"Wanderer in Bewitching, Fractious Land",The Sri Lankan filmmaker Vimukthi Jayasundara’s vivid and oblique “Between Two Worlds” drops a man from the sky and trusts we will follow him.,2010-11-21,2010-11-22,2017-11-02 4:18,NA,Mystery,Edward A. Blatt,"Daniel Fuchs (screenplay), Sutton Vane (play)",John Garfield,0
Beware the Gonzo,NA,0,STEPHEN HOLDEN,Fear and Loathing at Parker Prep,"“Beware the Gonzo,” the feature directorial debut of Bryan Goluboff, follows a student uprising against a high school’s vile clique of alpha teenagers and its smug principal.",2011-09-08,2011-09-09,2017-11-02 4:18,NA,Comedy,Bryan Goluboff,Bryan Goluboff,Ezra Miller,0
Beyond Skyline,R,0,GLENN KENNY,"Review: A Sci-Fi Thriller, ‘Beyond Skyline’ Is Beyond Ridiculous","Liam O’Donnell’s genre-hopping film takes its characters from Los Angeles to Laos, but risks losing its audience along the way.",2017-12-14,2017-12-15,2017-12-22 17:44,NA,NA,NA,NA,NA,0
Beyond the Gates,NA,0,NEIL GENZLINGER,"Review: A Trip to Hell, via the VCR, in ‘Beyond the Gates’","In this horror movie, two brothers play an old-school board game with a videotape and run into Barbara Crampton of “Re-Animator.”",2016-12-08,2016-12-09,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Bhaag Milkha Bhaag,NA,0,NICOLAS RAPOLD,Political Brutality Sets a Running Champion on His Path,This Bollywood biopic trails Milkha Singh from his military training through noteworthy competitions in the 1950s at home and abroad.,2013-07-11,2013-07-12,2017-11-02 4:18,1626289,Biography,Rakeysh Omprakash Mehra,Prasoon Joshi,Farhan Akhtar,0
Bhutto,Not Rated,0,MIKE HALE,Inside the Life of a Leader,A new documentary by Duane Baughman and Johnny O’Hara looks at the life and death of Benazir Bhutto.,2010-12-02,2010-11-01,2017-11-02 4:18,100009,Documentary,"Duane Baughman, Johnny O'Hara",Johnny O'Hara,Aseefa Bhutto Zardari,0
Big Eyes,PG-13,0,A. O. SCOTT,An Artist Overlooked in Plain Sight ,"Tim Burton&#8217;s &#8220;Big Eyes&#8221; tells the story of the artist Margaret Keane, whose husband, Walter Keane, took credit for her work in the 1960s.",2014-12-24,2014-12-25,2017-11-02 4:18,8021168,Biography,Tim Burton,"Scott Alexander, Larry Karaszewski",Amy Adams,1
Big Miracle,PG,0,RACHEL SALTZ,Saving Whales While Melting Hearts and a Cold War,Unlikely allies find themselves working together to save three whales trapped in ice in Alaska in “Big Miracle.”,2012-02-02,2012-02-03,2017-11-02 4:18,20113965,Biography,Ken Kwapis,"Jack Amiel (screenplay), Michael Begler (screenplay), Thomas Rose (book)",John Pingayak,0
"Big Mommas: Like Father, Like Son",PG-13,0,MIKE HALE,One Giant Family,"Martin Lawrence plays Big Momma, his F.B.I.-agent-in-drag character, for the third time, in “Big Mommas: Like Father, Like Son.”",2011-02-18,2011-02-18,2017-11-02 4:18,37911876,Action,John Whitesell,"Matthew Fogel (screenplay), Don Rhymer (story), Matthew Fogel (story), Darryl Quarles (characters)",Martin Lawrence,0
Big Significant Things,NA,0,NEIL GENZLINGER,Review: &#8216;Big Significant Things&#8217; Compares Landmarks in Life and on the Road,"In this film, Harry Lloyd plays a character who runs from commitment in search of highway novelties.",2015-07-23,2015-07-24,2017-11-02 4:18,NA,Comedy,Bryan Reisberg,Bryan Reisberg,Harry Lloyd,0
Billy & Buddy,NA,0,MIRIAM BALE,A New Dog With Old Tricks,"“Billy & Buddy,” based on a comic strip by Jean Roba, features a cocker spaniel and French comedic noises.",2013-11-07,2013-11-08,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Billy Lynn’s Long Halftime Walk,R,0,A. O. SCOTT,Review: ‘Billy Lynn’s Long Halftime Walk’: Ang Lee’s Super-High-Definition Take on the Iraq War,"“Billy Lynn’s Long Halftime Walk” is Mr. Lee’s film about innocence, adapted from a novel about the gulf that separates modern soldiers from everyone else.",2016-11-10,2016-11-11,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Birdboy: The Forgotten Children,NA,0,A.O. SCOTT,"Review: ‘Birdboy,’ a Disturbing Animated Feature from Spain","The movie has talking animals, but it’s not necessarily for kids.",2017-12-14,2017-12-15,2018-01-14 17:44,NA,NA,NA,NA,NA,0
Birth of the Dragon,PG-13,0,GLENN KENNY,"Review: In ‘Birth of the Dragon,’ Young Bruce Lee Meets a Master","The film focuses on an early chapter in the martial-arts superstar’s life, when he battled a Shaolin monk in the Bay Area.",2017-08-25,2017-08-25,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Birth Story: Ina May Gaskin and The Farm Midwives,NA,0,JEANNETTE CATSOULIS,Midwives and Diehards Again Find the Spotlight,"“Birth Story: Ina May Gaskin & the Farm Midwives,” a documentary, puts a halo over the natural childbirth experience.",2013-01-15,2013-01-18,2017-11-02 4:18,NA,Documentary,"Sara Lamm, Mary Wigmore",NA,Ina May Gaskin,0
Bitter Harvest,R,0,JEANNETTE CATSOULIS,Review: ‘Bitter Harvest’ Offers a Clunky Lesson in Ukrainian History,"Prettily filmed yet parochial, this film follows two lovers through a mass starvation in the early 1930s.",2017-02-23,2017-02-24,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Bitter Honey,NA,0,ANDY WEBSTER,The Pain of Polygamy,"“Bitter Honey,” a documentary by the U.C.L.A. anthropologist Robert Lemelson, examines an island that remains mired in ancient patriarchy and domestic violence.",2014-10-30,2014-10-03,2017-11-02 4:18,NA,Drama,Gakuryû Ishii,Saisei Murô (based on the novel by),Fumi Nikaidô,0
Biutiful,R,0,A. O. SCOTT,The Mob Work Is Tough; Then He Has to Go Home,Javier Bardem plays an underworld figure stressed by work and family in Alejandro González Iñárritu’s “Biutiful.”,2010-12-28,2011-02-04,2017-11-02 4:18,5100937,Drama,Alejandro G. Iñárritu,"Alejandro G. Iñárritu (screenplay), Alejandro G. Iñárritu (based on a story by), Nicolás Giacobone (screenplay), Armando Bo (screenplay)",Javier Bardem,1
Black Mass,R,0,A. O. SCOTT,"Review: In ‘Black Mass,’ Johnny Depp Is the Dead-Eyed Killer Whitey Bulger","Scott Cooper’s film conjures a highly familiar gangster world of gamy characters, whackings and splattered brains.",2015-09-17,2015-09-18,2017-11-02 4:18,48786443,Biography,Scott Cooper,"Mark Mallouk (screenplay), Jez Butterworth (screenplay), Dick Lehr (based on the book by), Gerard O'Neill (based on the book by)",Johnny Depp,0
Black Nativity,PG,0,MANOHLA DARGIS,"Christmas in Harlem, and O Come, All Ye Songs","The musical “Black Nativity,” set mostly in contemporary Harlem, is directed by Kasi Lemmons.",2013-11-26,2013-11-27,2017-11-02 4:18,4894004,Drama,Kasi Lemmons,"Langston Hughes (based on the play by), Kasi Lemmons (written for the screen by)",Forest Whitaker,0
Black November,NA,0,NICOLAS RAPOLD,Challenging Corruption in the Niger Delta,"&#8220;Black November,&#8221; a blood-for-oil drama directed by Jeta Amata, follows a Nigerian activist who mobilized opposition after a deadly explosion.",2015-01-08,2015-01-09,2017-11-02 4:18,NA,Action,Jeta Amata,Jeta Amata,Ibrahim Aba-Gana,0
Black or White,PG-13,0,STEPHEN HOLDEN,Race Relations on the Family Tree,"In &#8220;Black or White,&#8221; Kevin Costner and Octavia Spencer battle each other for custody of their biracial granddaughter.",2015-01-29,2015-01-30,2017-11-02 4:18,15504419,Drama,Mike Binder,Mike Binder,Kevin Costner,0
Black Rock,R,0,NEIL GENZLINGER,"Just Us Girls, They Thought. Oops.","In “Black Rock,” three young women decide to reconnect on an isolated island in Maine, only to find themselves running for their lives.",2013-05-16,2013-05-17,2017-11-02 4:18,NA,Horror,Katie Aselton,"Mark Duplass (screenplay), Katie Aselton (story)",Katie Aselton,0
Black Sea,R,0,STEPHEN HOLDEN,A Rum Crew Jettisons All Reason,"In &#8220;Black Sea,&#8221; Jude Law stars as a sailor who seizes on a chance to explore for undersea gold with a rough and greedy crew.",2015-01-22,2015-01-23,2017-11-02 4:18,NA,Adventure,Kevin Macdonald,Dennis Kelly (screenplay by),Jude Law,0
