display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,boxoffice,genre,director,writer,actor,awards
Foxcatcher,R,1,MANOHLA DARGIS, Taken Down by Twisted Ambition ,"Starring Steve Carell and Channing Tatum, &#8220;Foxcatcher,&#8221; directed by Bennett Miller, tells the true-crime story of an Olympic wrestler and his multimillionaire sponsor.",2014-11-13,2015-01-16,2017-11-02 4:18,9744477,Biography,Bennett Miller,"E. Max Frye, Dan Futterman",Steve Carell,Nominated for 5 Oscars. Another 12 wins & 74 nominations.
Free Fire,R,1,GLENN KENNY,Review: Brie Larson as a Gangster Wrangler in ‘Free Fire’,"Ben Wheatley’s formula for action-movie success: a best actress Oscar winner, dozens of firearms and a warehouse full of testosterone.",2017-04-20,2017-04-21,2017-11-02 4:18,1798483,Action,Ben Wheatley,"Amy Jump (screenplay by), Ben Wheatley (screenplay by)",Enzo Cilenti,1 win & 6 nominations.
Free State of Jones,R,1,A. O. SCOTT,Review: Matthew McConaughey Rebels Against Rebels in ‘Free State of Jones’,"Mr. McConaughey plays Newton Knight, the Mississippi farmer who led a dissident Confederate group in the Civil War, and a political coalition after.",2016-06-23,2016-06-24,2017-11-02 4:18,NA,Action,Gary Ross,"Gary Ross (screenplay by), Leonard Hartman (story), Gary Ross (story)",Matthew McConaughey,3 wins & 4 nominations.
Fresh Dressed,,1,JON CARAMANICA,Review: &#8216;Fresh Dressed&#8217; Follows Hip-Hop From the Streets to the Runway,"This documentary charts how hip-hop fashion initially absorbed what was around it, and then eventually became the inspiration for everyone else.",2015-06-25,2015-06-26,2017-11-02 4:18,NA,Documentary,Sacha Jenkins,Sacha Jenkins (story),Damon Dash,1 nomination.
From Nowhere,,1,STEPHEN HOLDEN,"Review: Immigrants ‘From Nowhere,’ Anxiously Living Under the Radar",Julianne Nicholson plays a Bronx high school teacher who tries to help three undocumented students cope with the threat of being discovered by the authorities.,2017-02-16,2017-02-17,2017-11-02 4:18,5408,Drama,Matthew Newton,"Matthew Newton, Kate Ballen",Sydni Beaudoin,4 wins & 3 nominations.
From This Day Forward,,1,ANDY WEBSTER,Review: ‘From This Day Forward’ Attests to Love’s Adaptability,Sharon Shattuck’s documentary tells her family story of growing up with a transgender parent.,2016-06-23,2016-06-24,2017-11-02 4:18,NA,Drama,John Berry,"Hugo Butler (screenplay), Garson Kanin (adaptation), Thomas Bell (based upon the novel by: ""All Brides Are Beautiful""), Edith Sommer (additional scenes), Charles Schnee (additional scenes)",Joan Fontaine,N/A
Frozen,PG,1,STEPHEN HOLDEN,"From the Heat of Royal Passion, Poof! It’s Permafrost","“Frozen,” from Disney, departs a bit from the company’s traditional princess formula.",2013-11-26,2013-11-27,2017-11-02 4:18,400736600,Animation,"Chris Buck, Jennifer Lee","Jennifer Lee (screenplay by), Hans Christian Andersen (story inspired by ""The Snow Queen"" by), Chris Buck (story by), Jennifer Lee (story by), Shane Morris (story by)",Kristen Bell,Won 2 Oscars. Another 77 wins & 57 nominations.
Fruitvale Station,R,1,A. O. SCOTT,"A New Year, and a Last Day Alive","“Fruitvale Station,” based on the true story of a Bay Area black man shot by a white police officer on a subway platform, examines the subject with a steady, objective eye.",2013-07-11,2013-07-26,2017-11-02 4:18,11010136,Biography,Ryan Coogler,Ryan Coogler,Michael B. Jordan,39 wins & 53 nominations.
Fun Size,PG-13,1,ANDY WEBSTER,Halloween Till Dawn,The Nickelodeon star Victoria Justice plays a high-school student chasing down her lost little brother on Halloween in “Fun Size.”,2012-10-25,2012-10-26,2017-11-02 4:18,9402410,Adventure,Josh Schwartz,Max Werner,Victoria Justice,N/A
Get On Up,PG-13,1,STEPHEN HOLDEN,"He Feels Good, Sometimes","“Get On Up,” directed by Tate Taylor (“The Help”), tells the story of the R&B and funk singer James Brown.",2014-07-31,2014-08-01,2017-11-02 4:18,22838662,Biography,Tate Taylor,"Jez Butterworth (screenplay), John-Henry Butterworth (screenplay), Steven Baigelman (story), Jez Butterworth (story), John-Henry Butterworth (story)",Chadwick Boseman,6 wins & 16 nominations.
Get Out,R,1,MANOHLA DARGIS,"Review: In ‘Get Out,’ Guess Who’s Coming to Dinner? (Bad Idea!)","This movie by Jordan Peele, his first as a director of feature films, is a skillful hybrid, blending genres into something terrifying.",2017-02-23,2017-02-24,2017-11-02 4:18,175428355,Horror,Jordan Peele,Jordan Peele,Daniel Kaluuya,Won 1 Oscar. Another 122 wins & 181 nominations.
Gimme Danger,R,1,STEPHEN HOLDEN,"Review: Iggy Pop Bares All, and Nothing, in ‘Gimme Danger’","Jim Jarmusch’s reverent documentary on Iggy Pop, a provocateur, is prim: It includes no retrospective scenes of drug use or the bandmates’ fights.",2016-10-27,2016-10-28,2017-11-02 4:18,439748,Documentary,Jim Jarmusch,Jim Jarmusch,Iggy Pop,1 win & 4 nominations.
Gleason,R,1,GLENN KENNY,"Review: In ‘Gleason,’ a Devastating Diagnosis Prompts a New Mission",Clay Tweel’s documentary chronicles the athlete Steve Gleason’s attempt to leave behind a meaningful legacy for his unborn child as A.L.S. wreaks havoc on his body.,2016-07-28,2016-07-29,2017-11-02 4:18,576589,Documentary,Clay Tweel,Clay Tweel,Steve Gleason,10 wins & 19 nominations.
Go Go Tales,Not Rated,1,MANOHLA DARGIS,A Bar Where Everybody Knows Your Pole Dance,"In Abel Ferrara’s “Go Go Tales,” a Manhattan strip club owned by Willem Dafoe and run by Bob Hoskins faces eviction by Sylvia Miles.",2011-01-06,2011-01-07,2017-11-02 4:18,NA,Comedy,Abel Ferrara,"Abel Ferrara, Scott Pardo (screenplay)",Willem Dafoe,3 wins & 1 nomination.
God Bless the Child,,1,NICOLAS RAPOLD,Review: &#8216;God Bless the Child&#8217; Follows Neglected Siblings at Play,"Robert Machoian and Rodrigo Ojeda-Beck&#8217;s drama creates a seemingly oblivious world of make-believe, goofing off and hanging out after a mother distressingly drives off.",2015-08-06,2015-08-07,2017-11-02 4:18,NA,Drama,Larry Elikann,Dennis Nemec,Mare Winningham,2 wins & 1 nomination.
God Loves Uganda,,1,JEANNETTE CATSOULIS,"Court the Soul, Pummel the Sexuality",“God Loves Uganda” explores the role of the American evangelical movement in promoting a Ugandan proposal to imprison or even execute homosexuals.,2013-10-10,2013-10-11,2017-11-02 4:18,47991,Documentary,Roger Ross Williams,"Benjamin Gray, Richard Hankin, Roger Ross Williams",N/A,5 wins & 6 nominations.
